1256,21,18,68,26,3,89,448,3874,80,10,96,108,10,149,1897,35,1,1,2,1,1,4,17,111,7,3,7,12,0,17,116,13,0,0,12,1,0,1,2,16,0,0,0,2,0,5,6,36,2,2,0,2,0,54,14,100,11,4,7,12,0,92,131,20,2,1,13,0,0,2,21,131,8,0,6,5,0,6,123,6,0,0,0,0,0,0,5,5,1,0,0,2,0,1,11,43,4,6,40,0,0,1,27,125,9,0,9,5,0,4,131,419,27,4,14,22,7,22,585,1609,139,9,150,118,17,140,3949,4031,132,15,164,118,8,110,1886,1909,46,8,45,46,2,48,1051,123,9,2,9,3,0,3,122,35,2,0,3,2,1,2,62,3,0,0,5,2,0,1,7,15,1,0,0,1,0,1,7,123,9,0,8,4,0,10,129,58,6,0,2,5,1,3,61,127,4,0,19,2,0,4,105,67,3,0,1,5,2,1,46,10,0,0,0,0,1,0,11,3,0,0,0,1,0,0,14,166,15,8,78,3,0,4,126,58,4,0,4,0,0,0,55,1761,105,10,109,126,13,129,3992,908,45,12,69,56,11,55,2577,0
540,13,15,63,27,0,88,119,1118,44,7,33,65,6,109,463,12,0,0,0,1,0,3,10,36,6,1,8,3,0,3,41,8,1,1,1,0,0,3,0,15,1,0,0,1,0,5,6,46,0,4,0,2,0,77,6,134,6,2,3,6,0,133,37,22,1,0,6,1,0,0,4,58,5,0,2,5,0,2,40,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,6,58,4,3,89,0,0,3,5,48,6,1,2,2,1,0,42,109,3,0,2,6,0,7,145,566,65,4,53,46,3,38,1005,1088,51,16,124,48,5,52,796,291,14,2,18,31,2,20,303,41,5,0,4,3,0,4,54,24,3,0,7,0,0,1,26,5,1,0,5,0,0,0,4,3,0,0,0,0,0,0,0,38,6,0,4,2,0,5,46,18,5,1,4,3,0,0,34,46,3,0,5,2,1,1,48,29,0,0,2,2,0,2,33,3,0,0,0,0,1,0,7,0,0,0,0,0,0,0,4,73,4,4,125,1,0,0,60,29,2,0,3,0,0,1,37,450,39,3,32,28,6,40,923,256,16,3,19,19,0,24,781,0
807,17,3,45,23,4,50,233,2452,75,10,70,79,6,96,1159,13,1,0,2,0,0,5,17,55,3,2,5,1,0,2,91,8,0,0,0,0,0,1,0,14,0,0,0,0,2,1,10,66,0,3,3,3,0,51,13,141,2,0,5,7,1,82,84,31,0,0,5,0,0,2,17,75,2,0,4,3,1,2,79,1,0,0,0,0,0,0,3,8,1,0,0,0,0,0,9,69,2,3,61,0,0,0,13,78,2,2,3,4,2,4,85,429,11,0,13,11,0,12,275,2068,107,10,82,85,9,82,2302,2535,89,16,113,77,3,73,1083,1147,56,5,59,49,5,30,645,71,6,2,2,5,0,4,75,48,1,0,1,2,0,2,57,11,1,0,3,2,0,0,9,3,0,0,0,0,0,1,6,75,5,0,1,3,0,3,101,47,2,0,2,4,0,3,52,69,3,2,7,5,1,2,77,41,3,0,1,0,1,4,72,10,0,0,1,1,0,0,13,4,1,0,0,0,0,0,6,116,7,1,79,2,0,6,82,55,0,2,3,2,0,2,69,1784,60,11,53,71,15,76,2490,1133,42,9,60,56,3,55,1929,0
823,14,4,37,7,0,45,258,2907,77,7,73,57,10,73,1151,29,0,0,0,1,0,1,5,94,7,2,3,3,0,12,79,7,0,1,5,0,0,3,1,10,0,0,4,0,0,1,8,61,0,3,1,3,0,50,9,146,1,3,4,12,0,86,96,22,0,0,2,1,0,2,16,93,4,0,4,2,0,4,101,2,0,0,0,0,0,0,1,11,1,0,0,0,0,0,10,67,1,2,55,0,0,0,17,85,2,0,1,2,0,6,82,413,18,2,17,17,2,20,266,1868,122,5,100,128,13,141,2665,2398,72,7,106,65,5,52,1540,1103,20,2,26,25,1,15,492,83,4,0,4,2,0,2,83,33,5,1,2,6,0,2,38,8,0,0,3,0,0,0,7,4,0,0,0,0,0,0,1,97,7,1,4,5,2,3,75,35,3,0,2,4,0,2,40,62,3,0,4,3,1,5,102,25,0,0,0,1,0,2,43,6,0,0,1,1,0,2,10,1,0,0,0,0,0,0,2,120,8,3,80,5,1,1,138,36,2,0,0,2,0,3,56,1772,111,10,91,115,9,109,2438,780,51,9,56,54,4,64,1496,0
3448,78,33,167,107,7,141,794,9576,397,51,377,424,22,454,4243,101,4,1,9,5,1,11,86,418,24,1,23,32,2,30,405,39,0,1,4,1,0,4,19,46,2,1,4,5,0,12,27,163,4,10,2,13,0,166,73,485,27,11,33,29,1,209,391,101,0,0,4,6,0,9,63,394,27,4,26,31,2,28,378,13,1,0,0,0,0,3,15,14,3,0,3,2,1,3,40,159,12,8,122,5,1,5,57,386,29,2,20,29,1,35,440,921,74,16,51,73,10,38,1163,4338,391,25,435,407,35,416,9024,9647,394,29,419,382,29,342,4055,3108,151,19,143,159,9,140,1955,455,30,0,29,26,1,23,330,160,11,1,15,8,2,14,235,42,4,2,9,1,0,0,24,17,3,0,0,1,0,1,13,436,35,1,30,35,3,29,427,176,18,0,12,13,4,9,203,422,17,2,27,28,0,34,404,162,9,4,7,14,5,9,224,27,2,2,3,1,0,1,56,26,2,0,3,3,1,1,53,466,39,12,256,25,1,28,467,146,16,1,8,15,0,15,235,4521,442,33,480,455,50,495,8928,1955,242,26,234,228,60,215,7168,0
502,8,12,53,28,0,85,115,886,37,9,34,64,7,102,452,9,0,0,0,0,0,7,5,43,5,0,2,5,0,3,32,12,0,0,3,0,0,2,0,6,0,0,1,0,0,4,5,31,0,2,0,2,0,57,1,98,1,9,10,7,0,122,45,11,0,0,6,0,0,0,2,49,1,0,5,2,0,1,35,2,0,0,0,0,0,0,0,7,1,0,0,0,0,1,3,53,1,2,83,0,0,0,6,46,6,0,0,4,0,0,38,80,3,2,7,5,2,4,109,634,49,3,49,27,5,48,883,1051,47,17,130,59,6,64,822,329,26,2,21,18,4,19,265,32,3,0,1,1,0,3,52,12,2,0,0,0,1,1,23,6,0,0,5,1,0,2,5,2,0,0,0,0,0,0,5,22,1,0,2,6,1,4,58,13,1,0,0,3,0,1,29,34,3,1,15,2,1,1,43,12,2,0,3,1,0,0,24,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,3,48,9,1,113,1,0,2,34,10,3,0,4,1,0,4,27,318,21,0,29,30,7,28,992,192,21,2,19,19,5,17,641,0
966,15,4,43,16,1,28,242,3098,93,7,86,43,4,76,1211,22,0,0,2,3,0,2,22,73,3,0,2,2,0,2,86,6,0,0,2,0,0,3,0,9,0,0,0,1,0,3,4,40,0,1,0,6,0,34,22,93,3,4,2,4,0,61,60,14,1,0,1,0,0,2,23,122,5,0,9,5,0,2,115,3,0,0,0,0,0,1,0,6,0,0,0,1,0,1,14,34,3,2,40,1,1,1,15,104,10,0,6,4,0,1,114,257,13,2,19,18,0,11,356,1463,122,15,127,91,17,90,2764,2831,64,14,84,106,7,88,1101,1131,26,4,28,34,2,35,466,103,2,0,9,10,0,7,139,41,1,0,2,3,0,2,30,14,1,0,2,0,1,1,11,5,0,0,0,0,0,0,2,88,4,1,5,2,1,6,103,41,3,0,2,5,0,1,55,47,1,0,4,2,1,4,82,29,4,0,4,1,0,1,59,9,0,0,0,0,0,0,12,1,1,0,0,1,0,1,2,85,6,0,59,4,0,8,76,38,5,0,5,1,1,3,63,1449,73,10,91,122,15,109,2764,613,50,4,50,55,5,74,1978,0
1025,18,1,42,24,1,41,417,3547,55,13,62,55,5,90,1888,31,2,0,1,2,0,0,34,138,3,1,6,7,0,5,105,5,0,0,3,0,0,2,0,13,0,0,0,2,0,3,12,60,0,4,0,5,0,46,21,144,2,1,5,10,1,73,102,23,0,0,0,2,0,1,17,110,3,0,4,3,1,4,116,0,0,0,0,0,0,0,1,6,1,0,1,2,0,0,24,62,5,5,45,1,0,0,33,86,6,1,5,5,0,3,122,554,31,0,23,27,1,21,495,2890,158,33,161,146,17,139,3231,2860,77,16,102,73,14,68,2143,2297,46,9,42,40,3,40,903,75,0,2,3,5,0,4,128,55,4,0,2,1,0,3,52,10,1,0,6,1,0,0,16,4,0,0,1,0,1,0,7,74,2,0,6,0,0,4,117,61,2,0,3,3,0,1,60,89,6,2,12,1,1,7,137,53,2,0,3,0,0,3,52,7,3,0,0,0,0,1,19,4,0,0,0,0,0,0,6,134,4,3,71,12,0,8,112,56,3,0,1,2,1,1,68,2492,142,24,107,134,15,117,3219,1336,102,8,117,93,5,90,2436,0
143,7,3,19,1,0,15,32,419,20,0,16,12,0,34,174,1,0,0,0,0,0,2,1,16,0,0,1,0,0,3,43,3,0,0,2,0,0,1,0,4,0,1,0,0,0,3,1,21,0,2,0,0,0,23,3,49,1,1,1,3,0,26,23,3,0,0,3,0,0,0,4,15,0,0,1,1,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,2,0,20,0,0,0,0,12,0,0,0,2,0,5,13,56,3,0,3,0,0,0,40,392,15,1,15,14,0,39,284,301,5,1,22,19,1,14,196,79,4,1,4,2,1,4,66,5,0,0,0,2,0,1,15,0,0,0,0,1,0,2,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,20,2,0,0,0,0,0,1,9,6,0,1,6,0,0,0,20,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,25,3,2,34,0,0,1,16,3,0,0,0,0,0,0,6,224,9,0,15,9,1,5,272,116,7,1,8,6,1,5,192,0
884,26,5,41,24,0,38,255,3010,105,17,81,124,9,161,1435,24,0,0,0,0,0,2,19,102,2,4,4,4,0,5,75,8,0,0,3,0,0,0,0,18,2,0,1,1,0,3,1,42,1,5,0,2,0,31,10,151,7,3,4,4,0,56,83,14,1,0,0,0,0,1,12,88,4,1,6,1,0,7,97,1,0,0,0,0,0,0,1,12,3,0,0,1,0,1,13,33,3,1,42,1,0,0,16,97,1,1,5,5,1,4,84,261,16,0,18,8,0,11,310,1404,91,6,102,67,13,75,2938,2706,80,5,106,102,5,84,1615,1023,26,4,22,33,3,26,572,73,8,0,2,2,0,5,93,31,1,0,3,2,0,7,41,14,0,0,3,1,0,2,7,2,0,0,0,0,0,0,1,76,5,0,2,3,3,4,90,30,3,0,3,3,0,2,60,91,5,1,5,4,0,2,80,30,2,0,1,0,0,2,52,7,1,0,0,0,0,0,12,1,0,0,0,0,0,0,2,122,8,5,47,4,0,1,81,27,6,0,2,0,0,0,54,1297,80,8,96,93,11,97,2672,526,47,7,42,38,1,40,1776,0
872,23,12,68,21,2,94,344,2235,63,9,57,69,2,129,1367,18,1,0,1,2,0,5,15,93,0,0,2,6,3,9,68,8,2,0,1,1,0,1,2,14,0,0,0,0,0,3,3,84,0,1,0,4,0,95,12,190,1,6,4,10,0,145,72,16,0,0,3,0,0,1,12,66,2,1,4,5,1,4,77,4,0,0,0,0,0,0,1,8,2,0,1,1,0,1,9,115,3,0,99,0,0,0,12,97,0,0,1,6,0,5,81,346,19,4,12,10,3,9,324,2192,100,8,127,94,10,89,2157,2264,89,14,173,78,5,74,1889,1111,26,5,22,33,2,38,773,86,6,0,3,4,0,3,89,25,1,0,0,3,0,1,32,13,1,0,5,0,0,1,5,4,0,0,1,0,0,0,4,61,2,0,1,1,2,6,95,29,2,0,1,1,0,2,44,70,4,1,9,0,0,2,63,43,0,0,2,3,0,0,41,6,1,0,1,0,0,0,8,5,0,0,0,0,0,0,14,153,8,3,136,2,1,1,70,24,3,0,1,1,0,0,41,1354,71,9,63,95,4,95,2266,802,47,3,44,31,8,44,1451,0
510,13,10,35,6,1,47,68,972,36,11,49,40,6,72,308,18,0,1,0,1,0,3,8,61,1,2,2,3,0,9,53,15,2,0,4,1,0,3,1,12,0,0,0,0,0,4,4,54,4,5,2,0,0,66,10,121,5,3,3,12,0,134,28,17,2,0,1,1,0,0,2,57,2,0,5,1,0,2,47,1,0,0,0,0,0,0,0,5,0,0,0,0,0,2,7,62,5,4,72,0,0,1,5,49,4,0,6,1,0,3,44,103,2,1,7,9,1,6,98,575,55,7,54,49,7,60,918,962,48,10,79,40,4,35,396,365,13,3,15,25,1,22,209,39,2,0,4,4,1,3,45,35,0,0,3,5,0,2,22,11,2,0,10,0,0,0,5,2,0,0,1,0,0,0,1,47,3,1,1,3,1,8,62,24,1,1,3,4,0,2,18,50,2,0,4,1,0,1,33,22,4,0,1,2,1,3,34,7,1,0,1,0,0,0,6,0,0,0,1,0,0,0,6,114,6,8,114,5,0,0,37,24,1,0,3,0,1,2,33,441,54,4,52,60,4,51,858,341,23,4,31,47,5,38,782,0
468,6,13,36,16,1,62,101,789,33,3,32,31,2,83,432,17,0,0,1,0,0,4,4,51,3,2,3,3,0,7,29,11,1,3,7,1,0,1,1,5,0,0,0,2,0,4,4,53,0,3,0,1,0,58,3,131,4,4,0,7,0,114,37,16,2,0,3,0,0,0,3,54,3,0,1,3,0,3,31,3,0,0,0,0,0,0,0,6,0,0,0,0,0,1,4,73,1,3,76,0,0,0,8,44,3,0,4,2,1,1,30,151,4,2,8,6,1,8,108,799,46,4,50,40,2,32,788,888,57,11,120,44,8,34,692,364,13,3,14,15,6,16,272,43,2,0,0,1,1,0,39,19,2,1,3,1,1,0,22,8,0,0,4,0,0,0,6,4,0,0,0,0,0,0,0,41,4,0,1,3,0,5,40,10,0,0,0,2,0,4,25,35,2,0,7,2,0,3,43,21,2,0,3,0,0,0,22,1,0,0,0,0,0,0,2,5,0,0,0,1,0,0,2,107,8,5,92,2,0,3,28,25,0,1,1,0,0,0,22,539,22,4,25,37,3,51,858,392,18,1,24,31,9,23,679,0
